Plane 0: Normal=<Point.Point object at 0x7377077fa630>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 1: Normal=<Point.Point object at 0x73770776ca40>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 2: Normal=<Point.Point object at 0x73770776cbf0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 3: Normal=<Point.Point object at 0x73770776cd70>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 4: Normal=<Point.Point object at 0x73770776cef0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 5: Normal=<Point.Point object at 0x73770776d070>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 6: Normal=<Point.Point object at 0x73770776d1f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 7: Normal=<Point.Point object at 0x73770776d370>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 8: Normal=<Point.Point object at 0x73770776d4f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 9: Normal=<Point.Point object at 0x73770776d670>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 10: Normal=<Point.Point object at 0x73770776d7f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 11: Normal=<Point.Point object at 0x73770776d970>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 12: Normal=<Point.Point object at 0x73770776daf0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 13: Normal=<Point.Point object at 0x73770776dc70>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 14: Normal=<Point.Point object at 0x73770776ddf0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 15: Normal=<Point.Point object at 0x73770776df70>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 16: Normal=<Point.Point object at 0x73770776e0f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 17: Normal=<Point.Point object at 0x73770776e270>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 18: Normal=<Point.Point object at 0x73770776e3f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 19: Normal=<Point.Point object at 0x73770776e570>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 20: Normal=<Point.Point object at 0x73770776e6f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 21: Normal=<Point.Point object at 0x73770776e870>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 22: Normal=<Point.Point object at 0x73770776e9f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 23: Normal=<Point.Point object at 0x73770776eb70>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 24: Normal=<Point.Point object at 0x73770776ecf0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 25: Normal=<Point.Point object at 0x73770776ee70>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 26: Normal=<Point.Point object at 0x73770776eff0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 27: Normal=<Point.Point object at 0x73770776f170>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 28: Normal=<Point.Point object at 0x73770776f2f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 29: Normal=<Point.Point object at 0x73770776f470>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 30: Normal=<Point.Point object at 0x73770776f5f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 31: Normal=<Point.Point object at 0x73770776f770>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 32: Normal=<Point.Point object at 0x73770776f8f0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 33: Normal=<Point.Point object at 0x73770776fa70>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 34: Normal=<Point.Point object at 0x73770776fbf0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 0: Normal=<Point.Point object at 0x7377077fa6c0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#ccccccPlane 35: Normal=<Point.Point object at 0x73770776fd70>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc

Plane 36: Normal=<Point.Point object at 0x73770776fef0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 37: Normal=<Point.Point object at 0x73770777c0b0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 1: Normal=<Point.Point object at 0x73770776cad0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 38: Normal=<Point.Point object at 0x73770777c230>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 39: Normal=<Point.Point object at 0x73770777c3b0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#ccccccPlane 2: Normal=<Point.Point object at 0x73770776cc80>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc

Plane 40: Normal=<Point.Point object at 0x73770777c530>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 3: Normal=<Point.Point object at 0x73770776ce00>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 41: Normal=<Point.Point object at 0x73770777c6b0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 4: Normal=<Point.Point object at 0x73770776cf80>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
